"subj" "block" "trial" "stim" "target" "resp" "acc" "rt" "ITI" "difficulty" "task" "session"
46 "3" 9 "B" "g" "n" 1 552 1042 2 "adaptive" "001"
46 "3" 10 "t" "t" "n" 0 1153 858 2 "adaptive" "001"
46 "3" 11 "b" "b" "y" 1 602 1229 2 "adaptive" "001"
46 "3" 12 "V" "t" "n" 1 819 681 2 "adaptive" "001"
46 "3" 13 "b" "b" "y" 1 719 1029 2 "adaptive" "001"
46 "3" 14 "g" "v" "n" 1 652 684 2 "adaptive" "001"
46 "3" 15 "t" "b" "n" 1 685 1097 2 "adaptive" "001"
46 "3" 16 "b" "g" "y" 0 735 1361 2 "adaptive" "001"
46 "3" 17 "t" "t" "n" 0 535 880 2 "adaptive" "001"
46 "3" 18 "G" "b" "y" 0 350 1359 2 "adaptive" "001"
46 "3" 19 "v" "t" "n" 1 652 899 2 "adaptive" "001"
46 "3" 20 "G" "g" "y" 1 601 1221 2 "adaptive" "001"
46 "4" 1 "T" NA "n" 1 485 1335 1 "adaptive" "001"
46 "4" 2 "g" "t" "n" 1 518 870 1 "adaptive" "001"
46 "4" 3 "b" "g" "n" 1 519 1258 1 "adaptive" "001"
46 "4" 4 "t" "b" "n" 1 418 647 1 "adaptive" "001"
46 "4" 5 "V" "t" "n" 1 719 660 1 "adaptive" "001"
46 "4" 6 "V" "v" "n" 0 602 541 1 "adaptive" "001"
46 "4" 7 "b" "v" "n" 1 785 716 1 "adaptive" "001"
46 "4" 8 "V" "b" "n" 1 869 1407 1 "adaptive" "001"
46 "4" 9 "v" "v" "y" 1 602 1039 1 "adaptive" "001"
46 "4" 10 "g" "v" "n" 1 1186 1255 1 "adaptive" "001"
46 "4" 11 "t" "g" "n" 1 719 1221 1 "adaptive" "001"
46 "4" 12 "V" "t" "n" 1 602 1133 1 "adaptive" "001"
46 "4" 13 "v" "v" "y" 1 618 1198 1 "adaptive" "001"
46 "4" 14 "V" "v" "y" 1 669 1141 1 "adaptive" "001"
46 "4" 15 "T" "v" "n" 1 567 574 1 "adaptive" "001"
46 "4" 16 "b" "t" "n" 1 835 1260 1 "adaptive" "001"
46 "4" 17 "B" "b" "y" 1 635 1434 1 "adaptive" "001"
46 "4" 18 "V" "b" "n" 1 585 666 1 "adaptive" "001"
46 "4" 19 "V" "v" "n" 0 920 1062 1 "adaptive" "001"
46 "4" 20 "t" "v" "n" 1 669 1456 1 "adaptive" "001"
46 "5" 1 "b" NA "n" 1 952 734 2 "adaptive" "001"
46 "5" 2 "G" NA "n" 1 669 717 2 "adaptive" "001"
46 "5" 3 "v" "b" "n" 1 619 1276 2 "adaptive" "001"
46 "5" 4 "G" "g" "y" 1 619 1486 2 "adaptive" "001"
46 "5" 5 "b" "v" "n" 1 602 740 2 "adaptive" "001"
46 "5" 6 "T" "g" "n" 1 852 672 2 "adaptive" "001"
46 "5" 7 "V" "b" "n" 1 552 525 2 "adaptive" "001"
46 "5" 8 "v" "t" "y" 0 852 1096 2 "adaptive" "001"
46 "5" 9 "g" "v" "n" 1 769 778 2 "adaptive" "001"
46 "5" 10 "g" "v" "n" 1 785 869 2 "adaptive" "001"
46 "5" 11 "t" "g" "n" 1 1018 1299 2 "adaptive" "001"
46 "5" 12 "b" "g" "y" 0 719 1265 2 "adaptive" "001"
46 "5" 13 "G" "t" "n" 1 919 647 2 "adaptive" "001"
46 "5" 14 "T" "b" "y" 0 1136 899 2 "adaptive" "001"
46 "5" 15 "g" "g" "n" 0 852 683 2 "adaptive" "001"
46 "5" 16 "v" "t" "n" 1 1303 791 2 "adaptive" "001"
46 "5" 17 "T" "g" "y" 0 535 1124 2 "adaptive" "001"
46 "5" 18 "V" "v" "n" 0 836 504 2 "adaptive" "001"
46 "5" 19 "B" "t" "n" 1 903 941 2 "adaptive" "001"
46 "5" 20 "V" "v" "y" 1 1053 1282 2 "adaptive" "001"
46 "6" 1 "g" NA "n" 1 952 955 1 "adaptive" "001"
